Country,code,ISTP,INTJ,ENTP,ESFP,ENTJ,ISFP,INFJ,INTP,ISTJ,ESTP,ENFJ,ISFJ,ENFP,INFP,ESFJ,ESTJ,ESTJ-A,ESFJ-A,INFP-T,ESFJ-T,ENFP-T,ENFP-A,ESTJ-T,ISFJ-T,ENFJ-A,ESTP-A,ISTJ-A,INTP-T,INFJ-T,ISFP-T,ENTJ-A,ESTP-T,ISTJ-T,ESFP-T,ENTP-A,ESFP-A,INTJ-T,ISFJ-A,INTP-A,ENTP-T,ISTP-T,ENTJ-T,ISTP-A,INFP-A,ENFJ-T,INTJ-A,ISFP-A,INFJ_A
Azerbaijan,AZE,0.0285,0.0528,0.0663,0.0471,0.0571,0.0372,0.0603,0.0804,0.0578,0.0308,0.0742,0.0561,0.0856,0.1062,0.0735,0.0857,0.0581,0.0412,0.0804,0.0323,0.0551,0.0305,0.0276,0.0372,0.0325,0.0174,0.0295,0.0506,0.0437,0.0263,0.033,0.0134,0.0283,0.0238,0.0333,0.0233,0.0295,0.0189,0.0298,0.033,0.0146,0.0241,0.0139,0.0258,0.0417,0.0233,0.0109,0.0166
Bahamas,BHS,0.0318,0.0416,0.0483,0.0341,0.0312,0.0559,0.0847,0.0633,0.0535,0.0238,0.0702,0.0843,0.1077,0.132,0.0906,0.0469,0.0371,0.0649,0.0981,0.0257,0.0574,0.0503,0.0098,0.0387,0.0433,0.0142,0.0364,0.0361,0.0533,0.0323,0.0209,0.0096,0.0171,0.0139,0.0255,0.0202,0.0205,0.0456,0.0272,0.0228,0.015,0.0103,0.0168,0.0339,0.0269,0.0211,0.0236,0.0314
Bahrain,BHR,0.0234,0.0394,0.051,0.051,0.0419,0.047,0.076,0.0564,0.03,0.03,0.0826,0.0597,0.1339,0.1367,0.0898,0.0513,0.0347,0.0549,0.1087,0.0349,0.0838,0.0501,0.0166,0.0385,0.0376,0.0186,0.0153,0.0358,0.0575,0.0311,0.026,0.0114,0.0147,0.028,0.0267,0.023,0.0231,0.0212,0.0206,0.0243,0.0131,0.0159,0.0103,0.028,0.045,0.0163,0.0159,0.0185
Bangladesh,BGD,0.0358,0.0418,0.0449,0.0585,0.0295,0.069,0.0697,0.0771,0.0366,0.0314,0.0639,0.06,0.1041,0.1498,0.0839,0.0442,0.0251,0.0473,0.1189,0.0366,0.0713,0.0328,0.0191,0.0367,0.0281,0.0148,0.0172,0.0503,0.05,0.0486,0.0149,0.0166,0.0194,0.0352,0.019,0.0233,0.0226,0.0233,0.0268,0.0259,0.0215,0.0146,0.0143,0.0309,0.0358,0.0192,0.0204,0.0197
Barbados,BRB,0.0272,0.0498,0.0408,0.0398,0.0277,0.0517,0.0911,0.0642,0.0486,0.0244,0.0669,0.101,0.0954,0.1497,0.0836,0.0382,0.0308,0.06,0.1127,0.0236,0.048,0.0474,0.0074,0.0449,0.0405,0.0146,0.0305,0.0356,0.0602,0.029,0.02,0.0098,0.0181,0.0172,0.0264,0.0226,0.0233,0.0561,0.0286,0.0144,0.0106,0.0077,0.0166,0.037,0.0264,0.0265,0.0227,0.0309
Belarus,BLR,0.0468,0.0678,0.0704,0.029,0.0452,0.0412,0.0609,0.1052,0.0664,0.0346,0.0519,0.0524,0.0941,0.1135,0.058,0.063,0.0417,0.0306,0.1007,0.0274,0.0662,0.0279,0.0213,0.0319,0.0221,0.0229,0.0345,0.072,0.0473,0.0282,0.0231,0.0117,0.0319,0.0146,0.0345,0.0144,0.0412,0.0205,0.0332,0.0359,0.0239,0.0221,0.0229,0.0128,0.0298,0.0266,0.013,0.0136
Belgium,BEL,0.0209,0.0383,0.061,0.0444,0.0297,0.0414,0.0761,0.0771,0.0288,0.0237,0.0664,0.0563,0.16,0.1708,0.0691,0.036,0.0265,0.0383,0.138,0.0308,0.0965,0.0635,0.0095,0.0383,0.0278,0.0169,0.0159,0.0449,0.0606,0.028,0.018,0.0068,0.0129,0.0203,0.0352,0.0241,0.0205,0.018,0.0322,0.0258,0.0098,0.0117,0.0111,0.0328,0.0386,0.0178,0.0134,0.0155
Belize,BLZ,0.022,0.0446,0.0472,0.0583,0.0217,0.0529,0.0831,0.0599,0.039,0.0299,0.0732,0.0786,0.1184,0.1416,0.0925,0.037,0.0288,0.0577,0.1085,0.0348,0.0661,0.0523,0.0082,0.0382,0.0387,0.0192,0.0237,0.0373,0.0543,0.03,0.0141,0.0107,0.0153,0.0266,0.0226,0.0317,0.0206,0.0404,0.0226,0.0246,0.011,0.0076,0.011,0.0331,0.0345,0.024,0.0229,0.0288
Bhutan,BTN,0.014,0.0189,0.0232,0.0688,0.026,0.0625,0.0646,0.0526,0.0238,0.0119,0.0653,0.0758,0.139,0.1566,0.1369,0.0597,0.0435,0.0913,0.1292,0.0456,0.0969,0.0421,0.0162,0.0442,0.0309,0.0042,0.0119,0.0372,0.0492,0.0442,0.019,0.0077,0.0119,0.0407,0.0056,0.0281,0.0105,0.0316,0.0154,0.0176,0.0084,0.007,0.0056,0.0274,0.0344,0.0084,0.0183,0.0154
Bosnia and Herzegovina,BIH,0.0209,0.0696,0.0908,0.031,0.0583,0.0286,0.0778,0.1079,0.0347,0.0294,0.0686,0.0346,0.1143,0.1375,0.0483,0.0479,0.0359,0.0323,0.1099,0.016,0.0665,0.0478,0.012,0.0216,0.035,0.0199,0.0182,0.0665,0.0606,0.0197,0.0392,0.0095,0.0165,0.014,0.0517,0.017,0.037,0.013,0.0414,0.0391,0.0102,0.0191,0.0107,0.0276,0.0336,0.0326,0.0089,0.0172
Botswana,BWA,0.0254,0.0401,0.0519,0.0395,0.0342,0.0608,0.0808,0.0713,0.0338,0.0228,0.0745,0.0688,0.1199,0.1491,0.0838,0.0431,0.0313,0.0587,0.1168,0.0251,0.072,0.0479,0.0118,0.0361,0.0418,0.0127,0.0184,0.0462,0.0591,0.0429,0.023,0.0101,0.0154,0.019,0.0234,0.0205,0.0177,0.0327,0.0251,0.0285,0.0165,0.0112,0.0089,0.0323,0.0327,0.0224,0.0179,0.0217
Brazil,BRA,0.0253,0.0645,0.0502,0.0323,0.0275,0.0383,0.0938,0.0977,0.0394,0.0186,0.0631,0.049,0.1336,0.189,0.0498,0.0278,0.0183,0.0275,0.1598,0.0223,0.0932,0.0404,0.0095,0.032,0.025,0.011,0.0203,0.0664,0.0742,0.0269,0.0151,0.0076,0.0191,0.0172,0.0232,0.0151,0.0374,0.017,0.0313,0.027,0.0139,0.0124,0.0114,0.0292,0.0381,0.0271,0.0114,0.0196
Brunei,BRN,0.0246,0.0202,0.0243,0.0772,0.0119,0.1041,0.0835,0.0396,0.0223,0.0189,0.0558,0.086,0.122,0.1952,0.09,0.0245,0.0143,0.0506,0.1677,0.0394,0.0843,0.0377,0.0102,0.0596,0.0219,0.0088,0.0095,0.0272,0.0694,0.0797,0.0059,0.0101,0.0128,0.0464,0.0095,0.0308,0.0136,0.0264,0.0124,0.0148,0.0147,0.006,0.0099,0.0275,0.0339,0.0066,0.0244,0.0141
Bulgaria,BGR,0.0263,0.0553,0.09,0.0281,0.0536,0.0321,0.0697,0.1013,0.0365,0.03,0.0632,0.0391,0.1282,0.1512,0.046,0.0495,0.0353,0.0279,0.1208,0.0181,0.0794,0.0488,0.0142,0.0247,0.0307,0.021,0.0206,0.0621,0.0535,0.0214,0.0342,0.009,0.0159,0.0134,0.0498,0.0147,0.0293,0.0144,0.0392,0.0402,0.0125,0.0194,0.0138,0.0304,0.0325,0.026,0.0107,0.0162
Burkina Faso,BFA,0.0302,0.0202,0.0436,0.0906,0.0235,0.0503,0.0805,0.0537,0.0202,0.0369,0.1074,0.0503,0.1744,0.1007,0.0939,0.0302,0.0235,0.0671,0.0772,0.0268,0.1174,0.057,0.0067,0.0369,0.0671,0.0268,0.0168,0.0302,0.0503,0.0369,0.0134,0.0101,0.0034,0.047,0.0268,0.0436,0.0101,0.0134,0.0235,0.0168,0.0067,0.0101,0.0235,0.0235,0.0403,0.0101,0.0134,0.0302
Cambodia,KHM,0.0265,0.028,0.037,0.0681,0.0218,0.068,0.0733,0.0427,0.0321,0.0254,0.0694,0.0708,0.1273,0.1491,0.1139,0.0465,0.0284,0.0689,0.1196,0.045,0.0806,0.0467,0.0181,0.0455,0.0314,0.0138,0.0148,0.0276,0.0571,0.0483,0.012,0.0116,0.0173,0.0387,0.0181,0.0294,0.0159,0.0253,0.0151,0.0189,0.0162,0.0098,0.0103,0.0295,0.038,0.0121,0.0197,0.0162
Cameroon,CMR,0.0207,0.0353,0.0402,0.0682,0.0414,0.0439,0.0719,0.0377,0.039,0.0268,0.0817,0.0803,0.0798,0.1096,0.1498,0.0737,0.0518,0.0938,0.0834,0.056,0.0457,0.0341,0.0219,0.0432,0.0512,0.014,0.0219,0.028,0.0518,0.0323,0.0225,0.0128,0.0171,0.0292,0.0152,0.039,0.0231,0.0371,0.0097,0.025,0.0116,0.0189,0.0091,0.0262,0.0305,0.0122,0.0116,0.0201
Canada,CAN,0.0229,0.035,0.046,0.0476,0.0259,0.0553,0.0843,0.0592,0.0356,0.0221,0.0721,0.0838,0.1344,0.1574,0.0826,0.0356,0.0248,0.048,0.1275,0.0346,0.0846,0.0498,0.0108,0.0542,0.0326,0.0142,0.0192,0.0372,0.065,0.0375,0.0154,0.0079,0.0164,0.0238,0.0239,0.0238,0.0191,0.0296,0.022,0.0221,0.0117,0.0105,0.0112,0.0299,0.0395,0.0159,0.0178,0.0193
Chile,CHL,0.027,0.0672,0.0503,0.0309,0.0265,0.0396,0.0935,0.1041,0.0369,0.016,0.0615,0.046,0.1321,0.1963,0.0468,0.0254,0.0179,0.0303,0.1523,0.0165,0.0727,0.0594,0.0075,0.0268,0.0305,0.011,0.0207,0.0667,0.0669,0.025,0.0157,0.005,0.0162,0.013,0.0268,0.0179,0.0375,0.0192,0.0374,0.0235,0.0138,0.0108,0.0132,0.044,0.031,0.0297,0.0146,0.0266
China,CHN,0.0359,0.0374,0.0435,0.0681,0.0303,0.0841,0.056,0.0571,0.0474,0.032,0.0569,0.0952,0.0943,0.1063,0.1016,0.0541,0.0335,0.0601,0.0822,0.0415,0.059,0.0353,0.0206,0.059,0.028,0.017,0.0231,0.0367,0.0401,0.0575,0.0175,0.015,0.0243,0.0385,0.0207,0.0296,0.0211,0.0362,0.0204,0.0228,0.0214,0.0128,0.0145,0.0241,0.0289,0.0163,0.0266,0.0159
Colombia,COL,0.0226,0.0527,0.06,0.0452,0.0402,0.0354,0.069,0.0861,0.0333,0.0249,0.0844,0.0437,0.1379,0.1372,0.0844,0.043,0.0302,0.0608,0.107,0.0236,0.0773,0.0606,0.0128,0.0239,0.0478,0.0152,0.0169,0.0573,0.0479,0.0224,0.0245,0.0097,0.0164,0.0195,0.0322,0.0257,0.0282,0.0198,0.0288,0.0278,0.0123,0.0157,0.0103,0.0302,0.0366,0.0245,0.013,0.0211
Congo,COG,0.0322,0.0362,0.0622,0.0602,0.0643,0.0382,0.0683,0.0341,0.0542,0.0482,0.0803,0.0763,0.0924,0.0502,0.1205,0.0824,0.0663,0.0663,0.0402,0.0542,0.0502,0.0422,0.0161,0.0281,0.0502,0.0321,0.0361,0.0221,0.0542,0.0221,0.0422,0.0161,0.0181,0.0341,0.0301,0.0261,0.0161,0.0482,0.012,0.0321,0.0161,0.0221,0.0161,0.01,0.0301,0.0201,0.0161,0.0141
Costa Rica,CRI,0.0216,0.0535,0.0636,0.0447,0.0368,0.0375,0.0692,0.0798,0.0379,0.0236,0.0795,0.0502,0.1549,0.1383,0.0716,0.0373,0.0258,0.0464,0.1031,0.0252,0.0875,0.0674,0.0115,0.0291,0.0397,0.0149,0.0205,0.0501,0.0498,0.0219,0.0208,0.0087,0.0174,0.0186,0.033,0.0261,0.0297,0.0211,0.0297,0.0306,0.0106,0.016,0.011,0.0352,0.0398,0.0238,0.0156,0.0194
Croatia,HRV,0.0235,0.0605,0.077,0.0339,0.0474,0.0321,0.0795,0.0925,0.034,0.0273,0.0713,0.0411,0.128,0.1484,0.0558,0.0478,0.0349,0.0355,0.1201,0.0203,0.0771,0.0509,0.0129,0.026,0.0356,0.019,0.0182,0.0592,0.0607,0.0218,0.0297,0.0083,0.0158,0.0156,0.0409,0.0183,0.0333,0.0151,0.0333,0.0361,0.0115,0.0177,0.012,0.0283,0.0357,0.0272,0.0103,0.0188
Cuba,CUB,0.0289,0.0216,0.0903,0.0578,0.0252,0.0433,0.0434,0.0542,0.0434,0.0072,0.0686,0.0614,0.1986,0.1228,0.1047,0.0289,0.0181,0.0758,0.0578,0.0289,0.1083,0.0903,0.0108,0.0289,0.0505,0.0036,0.0181,0.0325,0.0217,0.0289,0.0144,0.0036,0.0253,0.0217,0.0578,0.0361,0.0108,0.0325,0.0217,0.0325,0.0181,0.0108,0.0108,0.065,0.0181,0.0108,0.0144,0.0217
Cyprus,CYP,0.0208,0.0438,0.0655,0.0414,0.0471,0.0384,0.0758,0.0717,0.0353,0.0273,0.0844,0.0512,0.1295,0.1384,0.0797,0.0494,0.0338,0.0498,0.1136,0.0299,0.0822,0.0473,0.0156,0.0317,0.0396,0.0178,0.0189,0.0465,0.0581,0.027,0.0283,0.0095,0.0164,0.0215,0.0328,0.0199,0.0247,0.0195,0.0252,0.0327,0.0115,0.0188,0.0093,0.0248,0.0448,0.0191,0.0114,0.0177
Czech Republic,CZE,0.0294,0.061,0.0699,0.0379,0.0344,0.0393,0.0806,0.1004,0.0404,0.0285,0.0511,0.049,0.1183,0.164,0.0538,0.042,0.0296,0.0302,0.1344,0.0236,0.0739,0.0444,0.0124,0.0324,0.0216,0.0192,0.0213,0.0636,0.0643,0.0261,0.0208,0.0093,0.0191,0.0185,0.0372,0.0194,0.0347,0.0166,0.0368,0.0327,0.0142,0.0136,0.0152,0.0296,0.0295,0.0263,0.0132,0.0163
Denmark,DNK,0.0245,0.0388,0.0571,0.0482,0.0277,0.047,0.0834,0.0709,0.031,0.0257,0.067,0.0578,0.1497,0.1621,0.0719,0.0374,0.0289,0.0449,0.1253,0.027,0.0824,0.0673,0.0085,0.0383,0.0333,0.0193,0.0176,0.0399,0.0649,0.0296,0.0184,0.0064,0.0134,0.0197,0.0358,0.0285,0.02,0.0195,0.031,0.0213,0.0112,0.0093,0.0133,0.0368,0.0337,0.0188,0.0174,0.0185
Djibouti,DJI,0.036,0.0491,0.0491,0.0425,0.0491,0.0622,0.0769,0.0654,0.0508,0.0507,0.0524,0.0573,0.1211,0.0966,0.0916,0.0491,0.0311,0.0687,0.054,0.0229,0.0622,0.0589,0.018,0.0344,0.0229,0.0327,0.0393,0.0147,0.0458,0.0327,0.0278,0.018,0.0115,0.0229,0.0344,0.0196,0.0213,0.0229,0.0507,0.0147,0.018,0.0213,0.018,0.0426,0.0295,0.0278,0.0295,0.0311
Dominica,DMA,0.0249,0.0563,0.0447,0.0373,0.0249,0.0563,0.0919,0.0902,0.0389,0.0281,0.058,0.0786,0.0936,0.1474,0.0861,0.0431,0.0323,0.0679,0.1101,0.0182,0.0588,0.0348,0.0108,0.0447,0.0356,0.0157,0.0232,0.0695,0.0671,0.0298,0.0166,0.0124,0.0157,0.0149,0.0207,0.0224,0.0306,0.0339,0.0207,0.024,0.0108,0.0083,0.0141,0.0373,0.0224,0.0257,0.0265,0.0248
Dominican Republic,DOM,0.0208,0.0415,0.0495,0.0541,0.0308,0.0438,0.0789,0.0652,0.0317,0.0255,0.0834,0.0634,0.1469,0.1409,0.0854,0.0384,0.0291,0.0572,0.1053,0.0282,0.0839,0.063,0.0093,0.0365,0.0437,0.0172,0.0199,0.041,0.0565,0.0288,0.0201,0.0083,0.0118,0.0207,0.0255,0.0334,0.019,0.0269,0.0242,0.024,0.009,0.0107,0.0118,0.0356,0.0397,0.0225,0.015,0.0224
Ecuador,ECU,0.0246,0.05,0.0642,0.0577,0.0323,0.044,0.0647,0.0808,0.0339,0.0281,0.0704,0.05,0.1465,0.1387,0.0741,0.0399,0.0267,0.0507,0.106,0.0234,0.0828,0.0637,0.0132,0.0277,0.0389,0.0159,0.0174,0.0497,0.0457,0.0272,0.021,0.0122,0.0165,0.0274,0.0345,0.0303,0.0267,0.0223,0.0311,0.0297,0.0127,0.0113,0.0119,0.0327,0.0315,0.0233,0.0168,0.019
Egypt,EGY,0.0336,0.0497,0.0586,0.0523,0.0467,0.0518,0.0665,0.0719,0.041,0.0348,0.0767,0.0531,0.1176,0.122,0.071,0.0524,0.0324,0.0377,0.0989,0.0333,0.0785,0.0391,0.02,0.0343,0.0343,0.0178,0.0195,0.0466,0.0506,0.0364,0.0258,0.017,0.0215,0.0305,0.0274,0.0218,0.0279,0.0188,0.0253,0.0312,0.0196,0.0209,0.014,0.0231,0.0424,0.0218,0.0154,0.0159
El Salvador,SLV,0.0245,0.0553,0.059,0.0524,0.0341,0.0403,0.0658,0.0848,0.0337,0.0242,0.0678,0.0487,0.1329,0.1462,0.0895,0.0409,0.0298,0.0648,0.1124,0.0247,0.0786,0.0543,0.0111,0.026,0.0386,0.0164,0.018,0.0533,0.0432,0.0248,0.0222,0.0078,0.0157,0.0216,0.0321,0.0308,0.0262,0.0227,0.0315,0.0269,0.0134,0.0119,0.0111,0.0338,0.0292,0.0291,0.0155,0.0226
Estonia,EST,0.0303,0.0459,0.0616,0.0342,0.0307,0.0458,0.0839,0.0921,0.0393,0.0258,0.0597,0.0566,0.1325,0.1762,0.049,0.036,0.0241,0.0274,0.1449,0.0216,0.0825,0.05,0.0119,0.0388,0.0265,0.016,0.0198,0.0604,0.0682,0.032,0.0186,0.0098,0.0195,0.016,0.0331,0.0182,0.0266,0.0178,0.0317,0.0285,0.0159,0.0121,0.0144,0.0313,0.0332,0.0193,0.0138,0.0157
Ethiopia,ETH,0.0295,0.0426,0.055,0.0667,0.0374,0.0637,0.0599,0.0677,0.0393,0.0263,0.0684,0.0622,0.1,0.1152,0.1048,0.0612,0.0425,0.072,0.082,0.0328,0.0577,0.0423,0.0187,0.0334,0.0405,0.0143,0.0221,0.0425,0.0399,0.0423,0.0232,0.012,0.0172,0.0359,0.0252,0.0308,0.0221,0.0288,0.0252,0.0298,0.0163,0.0142,0.0132,0.0332,0.0279,0.0205,0.0214,0.02
Faroe Islands,FRO,0.0234,0.0314,0.0357,0.0564,0.0127,0.0899,0.0888,0.0856,0.0297,0.0207,0.0553,0.0627,0.1169,0.1973,0.0564,0.0372,0.026,0.0335,0.1526,0.0229,0.0744,0.0425,0.0112,0.0441,0.0239,0.0154,0.0159,0.0532,0.0686,0.0548,0.009,0.0053,0.0138,0.0245,0.0245,0.0319,0.0165,0.0186,0.0324,0.0112,0.0117,0.0037,0.0117,0.0447,0.0314,0.0149,0.0351,0.0202
Fiji,FJI,0.0219,0.028,0.0409,0.0651,0.0246,0.0628,0.077,0.0371,0.0232,0.0222,0.0894,0.0667,0.1464,0.1348,0.1205,0.0396,0.0264,0.0833,0.1026,0.0372,0.0873,0.0591,0.0132,0.0393,0.0496,0.0111,0.0134,0.0229,0.053,0.0377,0.0164,0.0111,0.0098,0.0298,0.0177,0.0353,0.0127,0.0274,0.0142,0.0232,0.0119,0.0082,0.01,0.0322,0.0398,0.0153,0.0251,0.024
Finland,FIN,0.0335,0.0491,0.0525,0.0434,0.0235,0.0541,0.0817,0.091,0.0416,0.0255,0.0488,0.0595,0.1258,0.1808,0.0554,0.0338,0.0266,0.0334,0.1485,0.022,0.0752,0.0506,0.0072,0.0396,0.0225,0.0186,0.0239,0.0536,0.0647,0.037,0.0158,0.0069,0.0177,0.0199,0.0316,0.0235,0.0252,0.0199,0.0374,0.0209,0.0159,0.0077,0.0176,0.0323,0.0263,0.0239,0.0171,0.017
France,FRA,0.037,0.0418,0.0577,0.0507,0.0321,0.0536,0.067,0.0768,0.0403,0.035,0.0611,0.0587,0.1293,0.1465,0.0675,0.045,0.0283,0.0371,0.1159,0.0304,0.0791,0.0502,0.0167,0.0358,0.0274,0.0197,0.0206,0.0468,0.0504,0.0325,0.0185,0.0153,0.0197,0.0259,0.0305,0.0248,0.0226,0.0229,0.03,0.0272,0.0186,0.0136,0.0184,0.0306,0.0337,0.0192,0.0211,0.0166
Georgia,GEO,0.0271,0.0778,0.0848,0.031,0.0649,0.0275,0.0644,0.1066,0.0531,0.0376,0.0577,0.0423,0.0907,0.1094,0.0535,0.0715,0.0502,0.0313,0.086,0.0222,0.056,0.0347,0.0213,0.0244,0.0287,0.0232,0.0305,0.0632,0.047,0.0172,0.0402,0.0144,0.0226,0.017,0.045,0.014,0.0425,0.0179,0.0434,0.0398,0.0144,0.0247,0.0127,0.0234,0.029,0.0353,0.0103,0.0174
Germany,DEU,0.0261,0.0533,0.0595,0.0371,0.0335,0.0407,0.0851,0.0934,0.0362,0.0241,0.0612,0.0495,0.1266,0.1766,0.0568,0.04,0.0299,0.034,0.1436,0.0228,0.0759,0.0507,0.0101,0.032,0.0278,0.0171,0.0203,0.0585,0.0676,0.0266,0.021,0.007,0.0159,0.0166,0.0332,0.0205,0.0298,0.0175,0.0349,0.0263,0.0126,0.0125,0.0135,0.033,0.0334,0.0235,0.0141,0.0175
Ghana,GHA,0.0269,0.0382,0.0361,0.0592,0.0322,0.0617,0.066,0.0399,0.0543,0.0318,0.062,0.109,0.0706,0.0768,0.1527,0.0829,0.0612,0.1097,0.0576,0.043,0.0428,0.0278,0.0217,0.0536,0.036,0.0182,0.03,0.0238,0.0422,0.0395,0.02,0.0136,0.0243,0.0303,0.018,0.0289,0.0194,0.0554,0.0161,0.0181,0.0141,0.0122,0.0128,0.0192,0.026,0.0188,0.0222,0.0238
Greece,GRC,0.023,0.0597,0.0743,0.0314,0.0539,0.0331,0.079,0.0874,0.0365,0.0245,0.0772,0.0469,0.1274,0.1404,0.0581,0.0471,0.031,0.0323,0.1171,0.0258,0.0841,0.0433,0.0161,0.0322,0.0319,0.0148,0.0183,0.0599,0.0636,0.0229,0.0279,0.0097,0.0182,0.0169,0.0335,0.0145,0.0374,0.0147,0.0275,0.0408,0.0125,0.026,0.0105,0.0233,0.0453,0.0223,0.0102,0.0154
Grenada,GRD,0.024,0.0542,0.0487,0.0391,0.0357,0.0556,0.0851,0.0721,0.0378,0.0234,0.0803,0.0741,0.1139,0.1078,0.0941,0.0542,0.0391,0.0666,0.0803,0.0275,0.0645,0.0494,0.0151,0.0384,0.0419,0.0165,0.022,0.0501,0.057,0.0281,0.0192,0.0069,0.0158,0.0192,0.0281,0.0199,0.0261,0.0357,0.022,0.0206,0.0103,0.0165,0.0137,0.0275,0.0384,0.0281,0.0275,0.0281
Guatemala,GTM,0.0207,0.0439,0.0664,0.0513,0.0389,0.0364,0.0688,0.0762,0.0335,0.0254,0.0753,0.0541,0.1463,0.1339,0.0815,0.0476,0.0337,0.0564,0.099,0.0251,0.0771,0.0692,0.0139,0.0312,0.0415,0.0167,0.0184,0.0473,0.048,0.0222,0.0241,0.0087,0.0151,0.0211,0.0355,0.0302,0.0237,0.0229,0.0289,0.0309,0.0102,0.0148,0.0105,0.0349,0.0338,0.0202,0.0142,0.0208
Guinea,GIN,0.0193,0.0358,0.0301,0.0755,0.0193,0.0704,0.0862,0.0415,0.0295,0.0301,0.0846,0.0891,0.1191,0.1197,0.1106,0.0392,0.0267,0.0658,0.0817,0.0448,0.0743,0.0448,0.0125,0.0545,0.0454,0.0216,0.0199,0.0233,0.0573,0.0437,0.0148,0.0085,0.0096,0.0409,0.0114,0.0346,0.0125,0.0346,0.0182,0.0187,0.0114,0.0045,0.0079,0.038,0.0392,0.0233,0.0267,0.0289
Guyana,GUY,0.0313,0.0443,0.0449,0.0489,0.0261,0.0571,0.0776,0.0757,0.0522,0.0316,0.0691,0.0796,0.1,0.1432,0.0825,0.0359,0.0271,0.0577,0.1086,0.0248,0.0619,0.0381,0.0088,0.0385,0.0404,0.0212,0.03,0.047,0.0499,0.0398,0.017,0.0104,0.0222,0.0248,0.0231,0.0241,0.0215,0.0411,0.0287,0.0218,0.0199,0.0091,0.0114,0.0346,0.0287,0.0228,0.0173,0.0277
Haiti,HTI,0.0176,0.027,0.0577,0.0612,0.0453,0.0489,0.0748,0.0341,0.0429,0.0318,0.0724,0.0801,0.1353,0.1154,0.1048,0.0506,0.0388,0.0677,0.0742,0.0371,0.0753,0.06,0.0118,0.043,0.0353,0.0224,0.0288,0.0206,0.0483,0.033,0.0265,0.0094,0.0141,0.0253,0.0306,0.0359,0.0141,0.0371,0.0135,0.0271,0.0082,0.0188,0.0094,0.0412,0.0371,0.0129,0.0159,0.0265
Honduras,HND,0.021,0.0465,0.0638,0.0529,0.0392,0.0417,0.0693,0.0736,0.0304,0.0309,0.0797,0.0519,0.1307,0.1417,0.0831,0.044,0.0337,0.0605,0.1048,0.0226,0.0708,0.0599,0.0103,0.029,0.0464,0.0212,0.019,0.0449,0.0442,0.0252,0.0258,0.0097,0.0114,0.0228,0.0356,0.0301,0.0263,0.0229,0.0287,0.0282,0.0093,0.0134,0.0117,0.0369,0.0333,0.0202,0.0165,0.0251
Hungary,HUN,0.0233,0.0647,0.0677,0.0316,0.0422,0.0332,0.0838,0.0978,0.0404,0.0249,0.0643,0.0489,0.1215,0.1569,0.0541,0.0446,0.0318,0.0325,0.1291,0.0216,0.0776,0.0439,0.0128,0.0318,0.0281,0.0167,0.022,0.0641,0.0664,0.023,0.0242,0.0082,0.0184,0.0149,0.0354,0.0167,0.037,0.0171,0.0337,0.0323,0.0121,0.018,0.0112,0.0278,0.0362,0.0277,0.0102,0.0174
Iceland,ISL,0.0202,0.0334,0.0555,0.0437,0.0256,0.0486,0.0787,0.0697,0.0259,0.0192,0.0706,0.0582,0.1698,0.191,0.0655,0.0245,0.0187,0.0399,0.1519,0.0256,0.0942,0.0756,0.0058,0.0356,0.0344,0.0134,0.0151,0.0415,0.0597,0.0323,0.0166,0.0058,0.0108,0.0191,0.0313,0.0246,0.0189,0.0226,0.0282,0.0242,0.0106,0.009,0.0096,0.0391,0.0362,0.0145,0.0163,0.019
India,IND,0.0243,0.0348,0.0544,0.068,0.033,0.0543,0.0635,0.0647,0.0281,0.0313,0.0761,0.0538,0.1355,0.1344,0.0953,0.0484,0.0314,0.0563,0.1067,0.039,0.0906,0.0449,0.017,0.0336,0.0338,0.0158,0.0133,0.0425,0.0473,0.0379,0.0176,0.0155,0.0148,0.038,0.0236,0.03,0.02,0.0202,0.0222,0.0308,0.0146,0.0154,0.0097,0.0277,0.0423,0.0148,0.0164,0.0162
Indonesia,IDN,0.0226,0.0384,0.0435,0.0837,0.0303,0.0575,0.0758,0.0499,0.0323,0.0337,0.0677,0.0652,0.1227,0.1249,0.1011,0.0507,0.029,0.0513,0.1012,0.0498,0.0836,0.0391,0.0217,0.0447,0.0271,0.0163,0.0145,0.033,0.0595,0.0412,0.0149,0.0174,0.0178,0.0502,0.0185,0.0335,0.0233,0.0205,0.0169,0.025,0.014,0.0154,0.0086,0.0237,0.0406,0.0151,0.0163,0.0163
Iraq,IRQ,0.0324,0.0712,0.0615,0.0411,0.0523,0.042,0.0716,0.1053,0.0427,0.0358,0.0722,0.0454,0.0941,0.1088,0.0642,0.0594,0.0401,0.0378,0.088,0.0264,0.0628,0.0313,0.0193,0.0281,0.0311,0.02,0.0218,0.0668,0.0545,0.03,0.0271,0.0158,0.0209,0.0243,0.0289,0.0168,0.0408,0.0173,0.0385,0.0326,0.019,0.0252,0.0134,0.0208,0.0411,0.0304,0.012,0.0171
