Country,code,ISTP,INTJ,ENTP,ESFP,ENTJ,ISFP,INFJ,INTP,ISTJ,ESTP,ENFJ,ISFJ,ENFP,INFP,ESFJ,ESTJ,ESTJ-A,ESFJ-A,INFP-T,ESFJ-T,ENFP-T,ENFP-A,ESTJ-T,ISFJ-T,ENFJ-A,ESTP-A,ISTJ-A,INTP-T,INFJ-T,ISFP-T,ENTJ-A,ESTP-T,ISTJ-T,ESFP-T,ENTP-A,ESFP-A,INTJ-T,ISFJ-A,INTP-A,ENTP-T,ISTP-T,ENTJ-T,ISTP-A,INFP-A,ENFJ-T,INTJ-A,ISFP-A,INFJ_A
Suriname,SUR,0.021,0.0306,0.0427,0.0422,0.0307,0.0574,0.0858,0.0657,0.0331,0.0235,0.0756,0.0627,0.1198,0.1796,0.0881,0.0417,0.0302,0.0618,0.1288,0.0263,0.0647,0.0551,0.0115,0.0354,0.0426,0.0163,0.0216,0.0465,0.058,0.0378,0.0182,0.0072,0.0115,0.0192,0.0259,0.023,0.0148,0.0273,0.0192,0.0168,0.0105,0.0125,0.0105,0.0508,0.033,0.0158,0.0196,0.0278
Sweden,SWE,0.0278,0.0447,0.0584,0.052,0.0305,0.0501,0.0739,0.0719,0.0368,0.0284,0.0644,0.0593,0.1383,0.1459,0.0757,0.0419,0.0319,0.0465,0.1146,0.0292,0.081,0.0573,0.01,0.0371,0.0302,0.0205,0.0218,0.041,0.0564,0.0319,0.02,0.0079,0.015,0.0225,0.0345,0.0295,0.0224,0.0222,0.0309,0.0239,0.0124,0.0105,0.0154,0.0313,0.0342,0.0223,0.0182,0.0175
Switzerland,CHE,0.0198,0.0414,0.0616,0.048,0.037,0.0388,0.0732,0.0655,0.0332,0.0261,0.0755,0.0568,0.1486,0.1442,0.08,0.0501,0.0384,0.0501,0.1112,0.0299,0.0837,0.0649,0.0117,0.0347,0.0372,0.0189,0.0197,0.0374,0.0547,0.0244,0.0246,0.0072,0.0135,0.0207,0.036,0.0273,0.0215,0.0221,0.0281,0.0256,0.0088,0.0124,0.011,0.033,0.0383,0.0199,0.0144,0.0185
Syria,SYR,0.0309,0.0823,0.0909,0.0382,0.0691,0.0279,0.0627,0.098,0.0365,0.0354,0.0709,0.0372,0.1005,0.1042,0.0546,0.0609,0.0392,0.0257,0.0841,0.0289,0.0661,0.0344,0.0217,0.0243,0.028,0.0169,0.0177,0.0576,0.0479,0.0195,0.0352,0.0185,0.0188,0.024,0.0428,0.0142,0.0482,0.0129,0.0404,0.0481,0.0161,0.0339,0.0148,0.0201,0.0429,0.0341,0.0084,0.0148
Tajikistan,TJK,0.0342,0.0342,0.058,0.0546,0.0376,0.0683,0.0341,0.041,0.0376,0.0273,0.041,0.0717,0.1399,0.1161,0.1297,0.0751,0.0512,0.0887,0.099,0.041,0.0819,0.058,0.0239,0.0512,0.0239,0.0102,0.0171,0.0239,0.0273,0.0478,0.0205,0.0171,0.0205,0.0307,0.0478,0.0239,0.0205,0.0205,0.0171,0.0102,0.0205,0.0171,0.0137,0.0171,0.0171,0.0137,0.0205,0.0068
Tanzania,TZA,0.0255,0.0357,0.0521,0.0569,0.0467,0.0487,0.0681,0.0502,0.0415,0.0301,0.0815,0.0619,0.1182,0.1099,0.1065,0.0666,0.0441,0.0666,0.081,0.0399,0.0753,0.0429,0.0225,0.038,0.0412,0.0153,0.0218,0.0281,0.048,0.0323,0.0297,0.0148,0.0197,0.0307,0.0256,0.0262,0.0166,0.0239,0.0221,0.0265,0.0137,0.017,0.0118,0.0289,0.0403,0.0191,0.0164,0.0201
Thailand,THA,0.0249,0.0335,0.037,0.0722,0.0255,0.0645,0.0696,0.0455,0.0412,0.0267,0.0688,0.0841,0.1213,0.1263,0.1108,0.048,0.0312,0.0673,0.0954,0.0435,0.0729,0.0484,0.0168,0.0486,0.033,0.0149,0.0216,0.0283,0.0489,0.0413,0.0145,0.0118,0.0196,0.0362,0.0183,0.036,0.018,0.0355,0.0172,0.0187,0.0138,0.011,0.0111,0.0309,0.0358,0.0155,0.0232,0.0207
Trinidad and Tobago,TTO,0.024,0.0484,0.0454,0.0438,0.0311,0.0536,0.092,0.0645,0.0413,0.0218,0.0734,0.0796,0.1069,0.1493,0.0838,0.0409,0.0301,0.0603,0.1144,0.0235,0.0638,0.0431,0.0108,0.0407,0.0416,0.0128,0.0244,0.0409,0.0649,0.0324,0.0196,0.009,0.0169,0.0194,0.0221,0.0244,0.025,0.0389,0.0236,0.0233,0.0129,0.0115,0.0111,0.0349,0.0318,0.0234,0.0212,0.0271
Tunisia,TUN,0.0227,0.0651,0.0959,0.0312,0.0445,0.034,0.0698,0.1251,0.0227,0.0246,0.0709,0.0287,0.1253,0.1623,0.0432,0.0337,0.0232,0.0255,0.1262,0.0177,0.0731,0.0522,0.0105,0.0181,0.0376,0.0151,0.0112,0.0783,0.0512,0.0238,0.0283,0.0095,0.0115,0.0155,0.051,0.0157,0.0348,0.0106,0.0468,0.0449,0.012,0.0162,0.0107,0.0361,0.0333,0.0303,0.0102,0.0186
Turkey,TUR,0.0253,0.0558,0.0857,0.0424,0.0519,0.036,0.061,0.0985,0.0354,0.0366,0.0662,0.0385,0.1197,0.1253,0.0628,0.0589,0.0388,0.0345,0.1046,0.0283,0.0787,0.041,0.0201,0.0255,0.027,0.0218,0.0174,0.0647,0.0488,0.0251,0.0293,0.0148,0.018,0.0236,0.0428,0.0188,0.0327,0.013,0.0338,0.0429,0.0137,0.0226,0.0116,0.0207,0.0392,0.0231,0.0109,0.0122
